中文,英文,俄语,葡萄牙,西班牙
搜索设备,Search device,,,
获取当前参数,Get current parameter,,,
网络参数,Network parameter,,,
ＩＰ地址,IP address,,,
网络模式,Network mode,,,
子网掩码,Subnet mask,,,
服务器地址,server address,,,
网关,network gate,,,
服务器端口,Server port,,,
域名服务器１,DNS 1,,,
域名服务器２,DNS 2,,,
ＨＴＴＰ服务器语言,HTTP server language,,,
格式参数设置,Format parameter settings,,,
输出格式选择,Output format selection,,,
感应卡号输入格式,card number input format,,,
ＨＩＤ格式参数 回车,HID format parameter  Enter,,,
回车,Enter,,,
串口参数 波特率,Serial parameter baud rate,,,
波特率,baud rate,,,
奇偶校验,Parity check,,,
换行,Line feed,,,
数据位,Data bits,,,
停止位,Stop bit,,,
二维码串口输出格式,QR code serial output format,,,
外部参数设置,External parameter settings,,,
重启设置,Reset settings,,,
工作模式,Working mode,,,
喇叭,horn,,,
扫码补光灯,Sweeping light,,,
条码二维码设置,Bar code QR code setting,,,
前后缀输入格式,prefix and suffix input format,,,
前缀,prefix,,,
后缀,Suffix,,,
卡前后缀格式,Card Prefix suffix format,,,
串口输出格式,Serial output format,,,
ＷＧ时序定义,WG timing definition,,,
低脉冲,Low pulse,,,
高脉冲,High pulse,,,
二维码参数设置,QR code parameter setting,,,
卡号格式,Card number format,,,
数据加密,Data encryption,,,
ＮＴＰ地址,NTP address,,,
使用次数,Number of times used,,,
备用地址,Alternate address,,,
网络协议,Network protocol,,,
二维码取位输出,Qr code fetch bit output,,,
设置,Set up,,,
固定ＩＰ,Fixed IP,,,
自动获取,Automatic acquisition,,,
ＵＳＢ虚拟键盘,USB keyboard,,,
ＵＳＢ虚拟串口,USB serial port,,,
门禁输出,Access control,,,
不带换行,No line feed,,,
带换行,Line feed,,,
带回车,Enter,,,
不带回车,No-Enter,,,
１２小时,12 hours,,,
２４小时,24 hours,,,
普通模式,Common mode,,,
单次模式,Single mode,,,
间隔模式,Interval model,,,
关闭,Close,,,
开启,open,,,
开灯,turn on,,,
关灯,Turn off,,,
不加密,No-encryption,,,
加密,Encryption,,,
无限次,Numberless,,,
１次,One,,,
读头模式,Reader,,,
门禁模式,Access control,,,
命令端口,Command port,,,
广播端口,Broadcast port,,,
命令设置成功,Command set successfully,,,
接收参数成功,Receive parameter successful,,,
就绪,Be ready,,,
16进制,Hex,,,
命令发送失败，没有初始化.,The command sent failed and has not been initialized.,,,
发送数据发生错误,Error sending data,,,
数据发送成功,Data sent successfully,,,
Winsock无法初始化,Winsock cannot initialize,,,
无法创建UDP的socket,Unable to create socket for UDP,,,
本地端口绑定失败,Local port binding failed,,,
UDP服务器/客户端就绪.,The UDP server / client is ready,,,
服务器退出,Server exit,,,
发送失败.没有选择设备.,Send failed. No device was selected.,,,
数据发送成功(%d.%d.%d.%d),Data sent successfully (%d.%d.%d.%d),,,
10进制,Dec,,,
10进制反码,Dec reversed,,,
16进制反码,Hex reversed,,,
命令端口:%d 广播端口:%d,The command port:%d broadcast port:%d.,,,
参数设置,Parameter setting,,,
